The GCD of 8 and 12 is 4
The GCD of 20 and 45 is 5
The GCD of 30 and 80 is 10
The GCD of 18 and 24 is 6
The GCD of 25 and 35 is 5
The GCD of 42 and 56 is 14
The GCD of 64 and 48 is 16
The GCD of 81 and 27 is 27
The GCD of 100 and 75 is 25
The GCD of 36 and 60 is 12
The GCD of 49 and 63 is 7
The GCD of 72 and 90 is 18
The GCD of 55 and 121 is 11
The GCD of 144 and 96 is 48
The GCD of 50 and 100 is 50
The GCD of 77 and 44 is 11
The GCD of 120 and 180 is 60
The GCD of 84 and 126 is 42
The GCD of 99 and 66 is 33
The GCD of 150 and 225 is 75
